dataset,prompt_id,block,first_version_used,raw_text_committed
mlabonne_harmful_behaviors,00e0e7aac76d35c5,D_beh_dev,V3.3.4,False
mlabonne_harmful_behaviors,03cf8b752e4cd393,D_beh_dev,V3.3.4,False
mlabonne_harmful_behaviors,06c4134a0f9cac1c,D_beh_dev,V3.3.4,False
mlabonne_harmful_behaviors,15b08bd6a87a3497,D_beh_dev,V3.3.4,False
mlabonne_harmful_behaviors,1ff3f30d855ea186,D_beh_dev,V3.3.4,False
mlabonne_harmful_behaviors,2b75b7ffaf09790a,D_beh_dev,V3.3.4,False
mlabonne_harmful_behaviors,2dae7376e62ae8dd,D_beh_dev,V3.3.4,False
mlabonne_harmful_behaviors,2fc59aa5c401e384,D_beh_dev,V3.3.4,False
mlabonne_harmful_behaviors,3226db7a26fe4dc5,D_beh_dev,V3.3.4,False
mlabonne_harmful_behaviors,344b3ee780530073,D_beh_dev,V3.3.4,False
mlabonne_harmful_behaviors,37f886f6dbaac6c0,D_beh_dev,V3.3.4,False
mlabonne_harmful_behaviors,3ada69057d1aa83f,D_beh_dev,V3.3.4,False
mlabonne_harmful_behaviors,3ee0a4238379b989,D_beh_dev,V3.3.4,False
mlabonne_harmful_behaviors,53d13ce0d381d166,D_beh_dev,V3.3.4,False
mlabonne_harmful_behaviors,59216b8c0ff78c09,D_beh_dev,V3.3.4,False
mlabonne_harmful_behaviors,59dda876fa5c6e40,D_beh_dev,V3.3.4,False
mlabonne_harmful_behaviors,5c37d030a4a7e3b7,D_beh_dev,V3.3.4,False
mlabonne_harmful_behaviors,65cfd85678b4d176,D_beh_dev,V3.3.4,False
mlabonne_harmful_behaviors,66eb3572e007001c,D_beh_dev,V3.3.4,False
mlabonne_harmful_behaviors,6e8f2f7ec28440d2,D_beh_dev,V3.3.4,False
mlabonne_harmful_behaviors,72323e116715e8e2,D_beh_dev,V3.3.4,False
mlabonne_harmful_behaviors,771ebbf2ea7ad2f2,D_beh_dev,V3.3.4,False
mlabonne_harmful_behaviors,78805b0b1c9bc6a6,D_beh_dev,V3.3.4,False
mlabonne_harmful_behaviors,7c8471cc7cc743e5,D_beh_dev,V3.3.4,False
mlabonne_harmful_behaviors,8a1f0a9fb0d568a8,D_beh_dev,V3.3.4,False
mlabonne_harmful_behaviors,966e4d787ee05a97,D_beh_dev,V3.3.4,False
mlabonne_harmful_behaviors,969ed8b9c531f585,D_beh_dev,V3.3.4,False
mlabonne_harmful_behaviors,a8133108167ead9b,D_beh_dev,V3.3.4,False
mlabonne_harmful_behaviors,b92e23912c8e0735,D_beh_dev,V3.3.4,False
mlabonne_harmful_behaviors,c7dd9f532e967a92,D_beh_dev,V3.3.4,False
mlabonne_harmful_behaviors,ccce2df4217094bf,D_beh_dev,V3.3.4,False
mlabonne_harmful_behaviors,d0d52ed24a6e2c71,D_beh_dev,V3.3.4,False
mlabonne_harmful_behaviors,d8a776b4ad7767fe,D_beh_dev,V3.3.4,False
mlabonne_harmful_behaviors,dccc8f9752470fc3,D_beh_dev,V3.3.4,False
mlabonne_harmful_behaviors,ee54d4f7e1b2b688,D_beh_dev,V3.3.4,False
mlabonne_harmful_behaviors,efacdbf93c5018e4,D_beh_dev,V3.3.4,False
mlabonne_harmful_behaviors,f697ca7466cdf8ea,D_beh_dev,V3.3.4,False
mlabonne_harmful_behaviors,f6c7c1b063ea9a10,D_beh_dev,V3.3.4,False
mlabonne_harmful_behaviors,f9dd75fd023f950e,D_beh_dev,V3.3.4,False
mlabonne_harmful_behaviors,ffbcfce002e33f70,D_beh_dev,V3.3.4,False
mlabonne_harmful_behaviors,03af5042789e5f66,D_beh_confirm,V3.3.4,False
mlabonne_harmful_behaviors,0cb650658c82e487,D_beh_confirm,V3.3.4,False
mlabonne_harmful_behaviors,0f3aa57a00b5ac9e,D_beh_confirm,V3.3.4,False
mlabonne_harmful_behaviors,0fa3c5c7e094fc94,D_beh_confirm,V3.3.4,False
mlabonne_harmful_behaviors,13741d48fb683131,D_beh_confirm,V3.3.4,False
mlabonne_harmful_behaviors,1c70f2d31d493271,D_beh_confirm,V3.3.4,False
mlabonne_harmful_behaviors,210194e9d89cc177,D_beh_confirm,V3.3.4,False
mlabonne_harmful_behaviors,22f1276c826aec47,D_beh_confirm,V3.3.4,False
mlabonne_harmful_behaviors,2817250924f971e6,D_beh_confirm,V3.3.4,False
