ctrl,n,A,r_max_a,r_max_b,abs_diff
B0_none,4,0.1,0.20335022348927437,0.20335022348927437,0.0
B0_none,4,0.7585775750291838,0.40098638970598854,0.40098528403824873,1.1056677398091352e-6
B0_none,4,8.066156921766133,1.7956788562925825,1.7957078798822488,2.902358966627716e-5
B0_none,4,0.3860705432153813,0.35,0.35,0.0
B0_none,4,4.105190671273078,1.0462619312399823,1.0462619844920344,5.3252052101271374e-8
B0_none,4,0.19648677899934675,0.35,0.35,0.0
B0_none,4,2.0892961308540396,0.22244199649192367,0.22242835045562484,1.3646036298831099e-5
B1_constant,4,0.1,0.35,0.35,0.0
B1_constant,4,1.0633265716371612,0.1645159799801699,0.16451586475523522,1.1522493467697181e-7
B1_constant,4,11.306633979496388,3.382748279006131,3.3827755802248776,2.730121874661151e-5
B1_constant,4,0.5411695265464637,0.15,0.15,0.0
B1_constant,4,5.7543993733715695,1.2528132756174823,1.2528132704473356,5.170146755162364e-9
B1_constant,4,0.2754228703338166,0.15,0.15,0.0
B1_constant,4,2.9286445646252366,1.1900533832283522,1.1900533832283522,0.0
B2_central,4,0.14017374183467698,0.27638000551273717,0.27638000073824076,4.774496409343243e-9
B2_central,4,1.4905046433861961,0.36012301251009865,0.36012295849136555,5.401873309773819e-8
B2_central,4,15.848931924611133,9.11623938798921,9.115736489507556,0.0005028984816544124
B2_central,4,0.7585775750291838,0.35,0.35,0.0
B2_central,4,8.066156921766133,0.5646411649723208,0.5646622015058366,2.1036533515816913e-5
B2_central,4,0.3860705432153813,0.35,0.35,0.0
B2_central,4,4.105190671273078,0.4327963992190994,0.43280136776513983,4.968546040429178e-6
B3_periodic,4,0.14017374183467698,0.35,0.35,0.0
B3_periodic,4,1.4905046433861961,0.15,0.15,0.0
B3_periodic,4,15.848931924611133,8.234735073705801,8.23475815351567,2.3079809869486212e-5
B3_periodic,4,0.7585775750291838,0.15,0.15,0.0
B3_periodic,4,8.066156921766133,0.613282302287371,0.6133472805626671,6.497827529605704e-5
B3_periodic,4,0.3860705432153813,0.15,0.15,0.0
B3_periodic,4,4.105190671273078,0.37999886496832713,0.3800403057630576,4.144079473045181e-5
B7_cantor,4,0.19648677899934675,0.15,0.15,0.0
B7_cantor,4,2.0892961308540396,0.6804990519858972,0.6804990511013975,8.844996957080298e-10
B7_cantor,4,0.1,0.15,0.15,0.0
B7_cantor,4,1.0633265716371612,0.4106107315583885,0.4106106377768354,9.378155313433112e-8
B7_cantor,4,11.306633979496388,1.3997889871517746,1.3998218095293118,3.282237753721162e-5
B7_cantor,4,0.5411695265464637,0.35,0.35,0.0
B7_cantor,4,5.7543993733715695,1.334816075961377,1.334816075961377,0.0
B4_random,4,0.2754228703338166,0.35,0.35,0.0
B4_random,4,2.9286445646252366,0.18046288781495723,0.18046288781495723,0.0
B4_random,4,0.14017374183467698,0.35,0.35,0.0
B4_random,4,1.4905046433861961,0.17813823981932445,0.178140000587037,1.7607677125497379e-6
B4_random,4,15.848931924611133,1.7284900150789206,1.7284894978920016,5.171869190689904e-7
B4_random,4,0.7585775750291838,0.15,0.15,0.0
B4_random,4,5.7543993733715695,1.2313436048716413,1.2313433377151517,2.6715648959729776e-7
B4_random,4,0.2754228703338166,0.15,0.15,0.0
B4_random,4,2.9286445646252366,0.35,0.35,0.0
B4_random,4,0.14017374183467698,0.15,0.15,0.0
B4_random,4,1.4905046433861961,0.35,0.35,0.0
B4_random,4,15.848931924611133,0.6848451182639096,0.6847903478564858,5.477040742374317e-5
B4_random,4,0.7585775750291838,0.3523684266359811,0.3523684266359811,0.0
B4_random,4,8.066156921766133,1.394046179475579,1.3940462372143263,5.773874733883133e-8
B4_random,4,0.3860705432153813,0.35724432046869536,0.35724432046869536,0.0
B4_random,4,4.105190671273078,0.3635636874109078,0.3635621608864988,1.5265244089901486e-6
B4_random,4,0.19648677899934675,0.35,0.35,0.0
B4_random,4,2.0892961308540396,0.2998399984021283,0.299840144359527,1.4595739866729573e-7
B4_random,4,0.1,0.35,0.35,0.0
B4_random,4,1.0633265716371612,0.15,0.15,0.0
B4_random,4,11.306633979496388,1.5219840082164295,1.5219840082164295,0.0
B4_random,4,0.5411695265464637,0.1526189599984868,0.1526189599984868,0.0
B4_random,4,5.7543993733715695,0.6872779206378379,0.6872842023905001,6.2817526622627184e-6
B4_random,4,0.2754228703338166,0.1505724326543547,0.1505724326543547,0.0
B4_random,4,2.9286445646252366,0.6936502140431067,0.6936502155936604,1.5505536854476532e-9
B4_random,4,0.14017374183467698,0.15,0.15,0.0
B4_random,4,1.0633265716371612,0.35,0.35,0.0
B4_random,4,11.306633979496388,1.4757064598617056,1.4757004473775999,6.012484105699656e-6
B4_random,4,0.5411695265464637,0.35,0.35,0.0
B4_random,4,5.7543993733715695,2.2000391466925016,2.2406178171160844,0.040578670423582874
B4_random,4,0.2754228703338166,0.35,0.35,0.0
B4_random,4,2.9286445646252366,0.15,0.15,0.0
B4_random,4,0.14017374183467698,0.35,0.35,0.0
B4_random,4,1.4905046433861961,0.15,0.15,0.0
B4_random,4,15.848931924611133,1.6309580417320395,1.6309564317728256,1.6099592139440233e-6
B4_random,4,0.7585775750291838,0.15,0.15,0.0
B4_random,4,8.066156921766133,3.832555623761997,3.8325420377138313,1.3586048165592501e-5
B4_random,4,0.3860705432153813,0.15,0.15,0.0
B4_random,4,4.105190671273078,0.5444110954392759,0.5444110954392759,0.0
