dataset,prompt_id,block,first_version_used,raw_text_committed
harmfulqa,1427af0d049ee9bf,D_beh_g1_dev,V3.3.5,False
harmfulqa,17463fe96c0fb3b7,D_beh_g1_dev,V3.3.5,False
harmfulqa,2025ddbd6e3228e2,D_beh_g1_dev,V3.3.5,False
harmfulqa,237f9321a69d2d50,D_beh_g1_dev,V3.3.5,False
harmfulqa,2d61791d788b5713,D_beh_g1_dev,V3.3.5,False
harmfulqa,3660f13897edb856,D_beh_g1_dev,V3.3.5,False
harmfulqa,3adedd51ccb4bdfe,D_beh_g1_dev,V3.3.5,False
harmfulqa,4347b22cd77d7707,D_beh_g1_dev,V3.3.5,False
harmfulqa,4bf84067ca568179,D_beh_g1_dev,V3.3.5,False
harmfulqa,52eda3392334b867,D_beh_g1_dev,V3.3.5,False
harmfulqa,636543a87808b50e,D_beh_g1_dev,V3.3.5,False
harmfulqa,65207d892ed6058d,D_beh_g1_dev,V3.3.5,False
harmfulqa,6f0b583a74da9f3f,D_beh_g1_dev,V3.3.5,False
harmfulqa,6f4e6d94783ff65b,D_beh_g1_dev,V3.3.5,False
harmfulqa,7521cae96ed837df,D_beh_g1_dev,V3.3.5,False
harmfulqa,80560a04cb62b10c,D_beh_g1_dev,V3.3.5,False
harmfulqa,8090e28ab5fb454a,D_beh_g1_dev,V3.3.5,False
harmfulqa,8d0bd977cfee7fd9,D_beh_g1_dev,V3.3.5,False
harmfulqa,a77def9490e5edfa,D_beh_g1_dev,V3.3.5,False
harmfulqa,ae8321a853b96434,D_beh_g1_dev,V3.3.5,False
harmfulqa,b65bbe16265ba479,D_beh_g1_dev,V3.3.5,False
harmfulqa,b6ecdc1898c21759,D_beh_g1_dev,V3.3.5,False
harmfulqa,bb154208f6d6a645,D_beh_g1_dev,V3.3.5,False
harmfulqa,c94ba7af5ca0abdc,D_beh_g1_dev,V3.3.5,False
harmfulqa,d2371daf3930ab12,D_beh_g1_dev,V3.3.5,False
harmfulqa,d24349a697fd59a9,D_beh_g1_dev,V3.3.5,False
harmfulqa,d28cb3ff0a0ba4cb,D_beh_g1_dev,V3.3.5,False
harmfulqa,d3d577038d44af2f,D_beh_g1_dev,V3.3.5,False
harmfulqa,d66edd51af4769d7,D_beh_g1_dev,V3.3.5,False
harmfulqa,dbc3e8fcb1c01bfc,D_beh_g1_dev,V3.3.5,False
